cohort,trades,win_rate,profit_factor,average_r,net_pnl,max_drawdown,full_loss_pct,breakeven_pct,partial_lock_pct,full_tp_pct
0.00-0.10,152,0.375,1.925775197766720587532676752,0.1298273645176511697502698507,96.883035714285714285714289,16.415357142857142857142857,0.1842105263157894736842105263,0.4407894736842105263157894737,0.1644736842105263157894736842,0.2105263157894736842105263158
0.10-0.25,235,0.3617021276595744680851063830,1.132748128485273774635978507,0.02384392174685998815648728329,32.970178571428571428571425,45.763392857142857142857143,0.2723404255319148936170212766,0.3659574468085106382978723404,0.1702127659574468085106382979,0.1914893617021276595744680851
0.25-0.50,467,0.3319057815845824411134903640,1.157667985606237080066527980,0.03346242420785086781312836051,69.134821428571428571428569,43.421071428571428571428571,0.2398286937901498929336188437,0.4282655246252676659528907923,0.1563169164882226980728051392,0.1755888650963597430406852248
0.50-0.75,387,0.3281653746770025839793281654,1.079515111127622621181584330,0.01436562163075024949136178726,24.460892857142857142857152,38.176607142857142857142855,0.2248062015503875968992248062,0.4470284237726098191214470284,0.1912144702842377260981912145,0.1369509043927648578811369509
0.75+,539,0.3729128014842300556586270872,1.269820521541586315549665814,0.03254405121860823424990257718,120.129107142857142857142857,63.988750000000000000000001,0.2448979591836734693877551020,0.3840445269016697588126159555,0.2133580705009276437847866419,0.1576994434137291280148423006
