cohort,trades,win_rate,profit_factor,average_r,net_pnl,max_drawdown,full_loss_pct,breakeven_pct,partial_lock_pct,full_tp_pct
0.00-0.10 x trend_high,144,0.3263888888888888888888888889,1.932732839129328827355645192,0.06990346321383291618126037535,146.673571428571428571428572,25.225714285714285714285714,0.2083333333333333333333333333,0.4652777777777777777777777778,0.1527777777777777777777777778,0.1736111111111111111111111111
0.00-0.10 x trend_low,159,0.2830188679245283018867924528,1.014163936360418576368405300,-0.008226304472667916249153889050,2.229464285714285714285716,46.122857142857142857142856,0.2327044025157232704402515723,0.4842767295597484276729559748,0.1509433962264150943396226415,0.1320754716981132075471698113
0.00-0.10 x trend_mid,161,0.4037267080745341614906832298,2.324094158392704132686995562,0.1739712819485280151857050513,157.840535714285714285714288,19.845535714285714285714286,0.1863354037267080745341614907,0.4099378881987577639751552795,0.1863354037267080745341614907,0.2173913043478260869565217391
0.10-0.25 x trend_high,282,0.3404255319148936170212765957,1.841963306775820480958994245,0.05064327891646259190171218060,287.972500000000000000000004,73.384821428571428571428569,0.2304964539007092198581560284,0.4290780141843971631205673759,0.1702127659574468085106382979,0.1702127659574468085106382979
0.10-0.25 x trend_low,292,0.4143835616438356164383561644,1.655550037564783333970024556,0.1110946172238773140834255728,147.088571428571428571428567,23.402142857142857142857143,0.2260273972602739726027397260,0.3595890410958904109589041096,0.2294520547945205479452054795,0.1849315068493150684931506849
0.10-0.25 x trend_mid,225,0.3333333333333333333333333333,0.9329562672399279969955580751,0.007173701460667089079606183458,-18.489464285714285714285718,58.694285714285714285714289,0.2977777777777777777777777778,0.3688888888888888888888888889,0.16,0.1733333333333333333333333333
0.25-0.50 x trend_high,480,0.3229166666666666666666666667,1.547842636251086584305771401,0.04454627068533844004457883288,341.677321428571428571428567,96.730178571428571428571429,0.2270833333333333333333333333,0.45,0.175,0.1479166666666666666666666667
0.25-0.50 x trend_low,476,0.3172268907563025210084033613,1.001470344089724039549412173,-0.001643183925642058508791977317,0.683214285714285714285716,62.531607142857142857142855,0.2710084033613445378151260504,0.4117647058823529411764705882,0.1722689075630252100840336134,0.1449579831932773109243697479
0.25-0.50 x trend_mid,492,0.3394308943089430894308943089,1.318699079192997911479074344,0.05238305981836461880531701295,151.941607142857142857142859,63.733035714285714285714285,0.2520325203252032520325203252,0.4085365853658536585365853659,0.1544715447154471544715447154,0.1849593495934959349593495935
0.50-0.75 x trend_high,390,0.3205128205128205128205128205,1.036106829383234826320026705,-0.02171598177210590902968343803,21.015000000000000000000000,72.681249999999999999999998,0.2666666666666666666666666667,0.4128205128205128205128205128,0.1974358974358974358974358974,0.1230769230769230769230769231
0.50-0.75 x trend_low,385,0.3064935064935064935064935065,1.035459272769606892002017943,-0.01964278425529249622341192694,11.748214285714285714285719,47.926964285714285714285715,0.2623376623376623376623376623,0.4311688311688311688311688312,0.1688311688311688311688311688,0.1376623376623376623376623377
0.50-0.75 x trend_mid,414,0.3357487922705314009661835749,1.353925895662975274481523435,0.05389953607610866627035390795,122.519285714285714285714285,34.191071428571428571428572,0.2391304347826086956521739130,0.4251207729468599033816425121,0.1666666666666666666666666667,0.1690821256038647342995169082
0.75+ x trend_high,599,0.3706176961602671118530884808,1.218823352147634681321473545,0.05064987744207409283558503426,201.764821428571428571428561,105.989642857142857142857146,0.2387312186978297161936560935,0.3906510851419031719532554257,0.2170283806343906510851419032,0.1535893155258764607679465776
0.75+ x trend_low,584,0.3527397260273972602739726027,1.231656369261142791669237324,0.01774455726179815997290007226,112.643571428571428571428561,42.975178571428571428571430,0.2756849315068493150684931507,0.3715753424657534246575342466,0.1934931506849315068493150685,0.1592465753424657534246575342
0.75+ x trend_mid,600,0.3116666666666666666666666667,1.100619975574657531704069769,-0.01448183408987339456857756011,58.084821428571428571428567,55.911785714285714285714284,0.2816666666666666666666666667,0.4083333333333333333333333333,0.17,0.14
