timestamp,open,high,low,close,volume,spread
2025-01-02T01:00:00+00:00,2624.48,2625.16,2624.41,2625.06,289,24
2025-01-02T01:05:00+00:00,2625.19,2625.29,2624.07,2625.02,107,25
2025-01-02T01:10:00+00:00,2625.03,2625.03,2624.01,2624.68,132,18
2025-01-02T01:15:00+00:00,2624.69,2624.92,2624.27,2624.37,192,15
2025-01-02T01:20:00+00:00,2624.41,2624.41,2623.51,2623.79,138,13
2025-01-02T01:25:00+00:00,2623.79,2624.17,2623.61,2623.74,75,13
2025-01-02T01:30:00+00:00,2623.71,2623.93,2623.14,2623.20,105,13
2025-01-02T01:35:00+00:00,2623.26,2623.79,2622.70,2622.85,81,13
2025-01-02T01:40:00+00:00,2622.85,2622.85,2621.56,2621.56,98,12
2025-01-02T01:45:00+00:00,2621.84,2623.26,2621.48,2623.10,127,13
2025-01-02T01:50:00+00:00,2623.09,2624.03,2623.09,2623.70,110,13
2025-01-02T01:55:00+00:00,2623.70,2624.33,2623.50,2623.74,96,11
2025-01-02T02:00:00+00:00,2623.78,2624.13,2622.82,2622.97,181,9
2025-01-02T02:05:00+00:00,2623.08,2625.61,2622.94,2625.61,122,11
2025-01-02T02:10:00+00:00,2625.61,2626.20,2625.23,2625.77,215,5
2025-01-02T02:15:00+00:00,2625.77,2625.79,2625.26,2625.70,214,13
2025-01-02T02:20:00+00:00,2625.65,2626.49,2625.57,2626.24,205,13
2025-01-02T02:25:00+00:00,2626.24,2626.44,2625.78,2626.40,181,12
2025-01-02T02:30:00+00:00,2626.38,2626.42,2625.45,2625.76,237,13
2025-01-02T02:35:00+00:00,2625.75,2626.45,2625.65,2626.32,201,13
2025-01-02T02:40:00+00:00,2626.48,2627.57,2626.13,2626.84,177,12
2025-01-02T02:45:00+00:00,2626.87,2627.80,2626.84,2626.94,240,13
2025-01-02T02:50:00+00:00,2626.92,2627.43,2626.59,2626.75,237,13
2025-01-02T02:55:00+00:00,2626.75,2626.96,2625.30,2625.33,316,13
2025-01-02T03:00:00+00:00,2625.35,2627.29,2623.80,2627.29,527,5
2025-01-02T03:05:00+00:00,2627.34,2630.51,2627.25,2629.58,468,8
2025-01-02T03:10:00+00:00,2629.57,2630.88,2629.38,2629.59,359,13
2025-01-02T03:15:00+00:00,2629.40,2631.99,2629.33,2631.45,391,6
2025-01-02T03:20:00+00:00,2631.44,2631.69,2629.80,2631.45,352,13
2025-01-02T03:25:00+00:00,2631.42,2633.01,2630.46,2632.59,337,13
2025-01-02T03:30:00+00:00,2632.55,2634.17,2632.55,2634.03,340,13
2025-01-02T03:35:00+00:00,2634.08,2634.35,2632.45,2633.07,283,5
2025-01-02T03:40:00+00:00,2633.10,2633.87,2632.26,2633.43,274,13
2025-01-02T03:45:00+00:00,2633.12,2633.48,2631.72,2632.20,355,13
2025-01-02T03:50:00+00:00,2632.19,2632.84,2631.62,2632.48,418,13
2025-01-02T03:55:00+00:00,2632.36,2633.35,2632.10,2632.90,368,13
2025-01-02T04:00:00+00:00,2632.92,2634.71,2632.58,2633.66,332,9
2025-01-02T04:05:00+00:00,2633.89,2634.52,2633.31,2634.24,326,9
2025-01-02T04:10:00+00:00,2634.34,2634.69,2633.43,2634.54,269,13
2025-01-02T04:15:00+00:00,2634.59,2634.59,2633.92,2634.19,218,13
2025-01-02T04:20:00+00:00,2634.16,2636.37,2633.97,2635.79,220,13
2025-01-02T04:25:00+00:00,2635.79,2635.80,2634.63,2635.63,220,13
2025-01-02T04:30:00+00:00,2635.70,2635.70,2634.18,2635.23,362,13
2025-01-02T04:35:00+00:00,2635.26,2635.76,2634.11,2635.47,270,13
2025-01-02T04:40:00+00:00,2635.39,2635.39,2632.63,2633.39,375,8
2025-01-02T04:45:00+00:00,2633.40,2633.58,2632.31,2632.90,329,9
2025-01-02T04:50:00+00:00,2632.90,2634.30,2632.61,2633.98,267,7
2025-01-02T04:55:00+00:00,2633.98,2635.32,2633.80,2634.72,266,9
