entry_timestamp,exit_timestamp,direction,realized_r,pnl,outcome,pullback_depth_atr,trend_strength,atr_strength,spread,london_subwindow,pre_entry_extension_atr,segment
2024-09-03T10:10:00+00:00,2024-09-03T10:15:00+00:00,buy,0.9433210784313725490196079109,1.649464285714285714285714,full TP,0.3500875452701311060764356336,0.0006284174096597778827598907830,0.0006340727893825841340516250226,0.33,mid,0.1424699648787186909465684258,early
2024-09-03T10:15:00+00:00,2024-09-03T10:40:00+00:00,buy,-0.04918032786885245901639344262,-0.165,breakeven,0.4784872388905102037619345902,0.0006284174096597778827598907830,0.0006517872858903054284937055806,0.33,mid,1.479425957076171076378354757,early
2024-09-03T10:45:00+00:00,2024-09-03T10:55:00+00:00,buy,-0.09880239520958083832335329341,-0.165,full loss,0.4936575521546456885735136213,0.0006284174096597778827598907830,0.0006019759209631614735410583577,0.33,mid,0.07112650100150049082847973422,early
2024-09-03T10:55:00+00:00,2024-09-03T11:00:00+00:00,buy,0.9275128865979381443298967292,1.542321428571428571428571,full TP,0.2241586313548113105122434907,0.0006284174096597778827598907830,0.0005989583779624447098864978159,0.33,mid,0.3833759418449979407991537434,early
2024-09-04T10:05:00+00:00,2024-09-04T10:10:00+00:00,sell,-1.078920396310215237444482416,-2.255714285714285714285714,full loss,0.5489654745907153743318488872,0.002152442476749207223731436277,0.0007746703484579864892434033775,0.33,mid,0.1728446144300561390212668397,early
2024-09-04T10:15:00+00:00,2024-09-04T10:30:00+00:00,sell,0.4392265193370165745856353591,1.19250,partial lock,0.5862135562151182470405079869,0.002152442476749207223731436277,0.0008707857418749655134359653478,0.05,mid,0.5411791830588091456987659407,early
2024-09-04T10:35:00+00:00,2024-09-04T10:45:00+00:00,sell,-0.06609442060085836909871243501,-0.165,full loss,0.3131643110222590346485559437,0.002152442476749207223731436277,0.0009384838769965065627740479304,0.33,mid,0.4717621595659762594690911153,early
2024-09-04T10:55:00+00:00,2024-09-04T11:05:00+00:00,sell,-0.05602716468590831918505942275,-0.165,full loss,0.2173216731924166539759431986,0.002152442476749207223731436277,0.0008187224706367847833306378322,0.33,mid,1.150692386561537651823705308,early
2024-09-05T09:20:00+00:00,2024-09-05T09:30:00+00:00,buy,-0.06358381502890173410404624277,-0.165,full loss,0.08960579783808124060328919278,0.0006222367815480638712980890370,0.0006464498298471047773412348303,0.33,mid,1.411055869563771428121898280,early
2024-09-05T09:40:00+00:00,2024-09-05T09:55:00+00:00,buy,0.4221698113207547169811320755,0.89500,partial lock,0.5223804629705538765033468031,0.0006222367815480638712980890370,0.0007810658452490820978110180224,0.33,mid,-0.4456541202595564340481038363,early
2024-09-05T09:55:00+00:00,2024-09-05T10:30:00+00:00,buy,0.4171449067431850789096123923,0.830714285714285714285714,partial lock,0.1571581659236554364912195542,0.0006222367815480638712980890370,0.0007293257402071547511136692813,0.33,mid,0.2644296322773613800907123974,early
2024-09-05T10:35:00+00:00,2024-09-05T10:50:00+00:00,buy,-0.1125182659522649780808572491,-0.165,full loss,0.03320443057714200312190274425,0.002209578391910510855124100436,0.0005192794612717843719112562229,0.33,mid,0.7274980941209919156486790343,early
2024-09-05T10:55:00+00:00,2024-09-05T11:05:00+00:00,buy,-0.06358381502890173410404624277,-0.165,full loss,0.9111718177138981096093168273,0.002209578391910510855124100436,0.0005317963487877266190576887892,0.33,mid,0.7394176785347621261891826366,early
2024-09-06T09:40:00+00:00,2024-09-06T10:55:00+00:00,buy,-1.057793345008756567425569177,-3.020,full loss,1.453509884166194057504225517,0.001030541899032146165270182540,0.0005755749795571645191765705258,0.33,mid,0.4016625296269093907716365517,early
2024-09-09T09:20:00+00:00,2024-09-09T09:25:00+00:00,sell,0.9555882352941176470588234614,1.740535714285714285714286,full TP,0.1942112947241137316362257008,0.001651215411690108228312645609,0.0006655932217983932769057234127,0.33,mid,0.5724984939779130040256975422,early
2024-09-09T09:25:00+00:00,2024-09-09T09:35:00+00:00,sell,-1.045517241379310344827586207,-3.790,full loss,0.2817401198251638149149909055,0.001651215411690108228312645609,0.0007391817462041164350583014161,0.33,mid,1.600887163501691995423135795,early
2024-09-09T09:40:00+00:00,2024-09-09T09:50:00+00:00,sell,0.4353303471444568868980961195,1.110714285714285714285714,partial lock,1.112966162564780692919730859,0.001651215411690108228312645609,0.0009575474861584089063093809845,0.33,mid,-0.9621131245522096064186832687,early
2024-09-09T09:50:00+00:00,2024-09-09T10:20:00+00:00,sell,-0.05903398926654740608228980322,-0.165,full loss,0.5902343652796151040757751476,0.001651215411690108228312645609,0.0009235377319244529494966303352,0.33,mid,0.5535991233814597638956445481,early
2024-09-09T10:40:00+00:00,2024-09-09T10:55:00+00:00,sell,0.4413854351687388987566607460,1.24250,partial lock,1.205238779212566656844215389,0.002740932806922837558002282650,0.0009454307996780780918393941911,0.33,mid,-0.08133693128769540570819600121,early
2024-09-10T10:30:00+00:00,2024-09-10T10:40:00+00:00,buy,-0.08188585607940446650124069479,-0.165,full loss,0.1880385217818217596695478402,0.0003592365178747764656637032483,0.0005278506786814449655813995910,0.33,mid,1.210449599168502214412525594,early
2024-09-11T09:35:00+00:00,2024-09-11T09:45:00+00:00,buy,-0.05132192846034214618973561431,-0.165,full loss,0.2279261437885294692896408445,0.0007757654427050213558052142251,0.0006158610070387345200975881084,0.33,mid,1.731688358276638038741566132,early
2024-09-11T09:45:00+00:00,2024-09-11T09:55:00+00:00,buy,-0.08539741219963031423290202696,-0.165,full loss,0.2596157490910277038681626516,0.0007757654427050213558052142251,0.0006995316474450977930539956998,0.33,mid,0.4930115750803546728497031528,early
