cohort,trades,win_rate,profit_factor,average_r,net_pnl,max_drawdown,full_loss_pct,breakeven_pct,partial_lock_pct,full_tp_pct
extension_high x 0.00-0.10,215,0.3534883720930232558139534884,2.346353237421740681869789475,0.1393306684470631427857997009,237.165892857142857142857144,29.950000000000000000000000,0.1813953488372093023255813953,0.4651162790697674418604651163,0.1534883720930232558139534884,0.2
extension_high x 0.10-0.25,272,0.3933823529411764705882352941,1.853252596457224279917338175,0.1294845833530901326271317417,275.455535714285714285714283,74.665000000000000000000000,0.2058823529411764705882352941,0.4007352941176470588235294118,0.2095588235294117647058823529,0.1838235294117647058823529412
extension_high x 0.25-0.50,412,0.3300970873786407766990291262,1.295756459767096223520774517,0.02873995118641742814042476459,176.964821428571428571428572,72.332500000000000000000000,0.2330097087378640776699029126,0.4368932038834951456310679612,0.1893203883495145631067961165,0.1407766990291262135922330097
extension_high x 0.50-0.75,214,0.3598130841121495327102803738,1.458454210868153279930720935,0.09931379035926893403761393621,105.88000,38.51250,0.1822429906542056074766355140,0.4579439252336448598130841121,0.2149532710280373831775700935,0.1448598130841121495327102804
extension_high x 0.75+,132,0.4015151515151515151515151515,2.247471587947033677405901366,0.1569246706452508550059153821,179.46750,29.29500,0.1742424242424242424242424242,0.4242424242424242424242424242,0.2196969696969696969696969697,0.1818181818181818181818181818
extension_low x 0.00-0.10,1,1,,1.157916666666666666666666667,3.47375,0,0,0,0,1
extension_low x 0.10-0.25,28,0.3571428571428571428571428571,0.9123293925413302575932333854,-0.008353480882492270311410512604,-2.606071428571428571428571,15.377142857142857142857142,0.3214285714285714285714285714,0.3214285714285714285714285714,0.1785714285714285714285714286,0.1785714285714285714285714286
extension_low x 0.25-0.50,153,0.3594771241830065359477124183,2.006712100310897897836068251,0.06899848768689941892321466301,104.774999999999999999999999,10.547857142857142857142857,0.2352941176470588235294117647,0.4052287581699346405228758170,0.1568627450980392156862745098,0.2026143790849673202614379085
extension_low x 0.50-0.75,269,0.3531598513011152416356877323,1.006931489104176773916044396,-0.01823248147976581779945427212,1.979821428571428571428572,57.418571428571428571428570,0.2936802973977695167286245353,0.3531598513011152416356877323,0.2193308550185873605947955390,0.1338289962825278810408921933
extension_low x 0.75+,793,0.3556116015132408575031525851,1.203910499094152706412497194,0.02002288043264917494063608439,155.081071428571428571428554,92.179107142857142857142858,0.2610340479192938209331651955,0.3846153846153846153846153846,0.2030264817150063051702395965,0.1513240857503152585119798235
extension_mid x 0.00-0.10,105,0.3619047619047619047619047619,1.596515773161938866452022116,0.05230021222356392215221992719,53.067321428571428571428571,28.737857142857142857142858,0.2190476190476190476190476190,0.4190476190476190476190476190,0.2095238095238095238095238095,0.1523809523809523809523809524
extension_mid x 0.10-0.25,212,0.4198113207547169811320754717,1.993204838276450659804354772,0.1217434889785326395342224826,163.755357142857142857142854,20.304285714285714285714288,0.2311320754716981132075471698,0.3490566037735849056603773585,0.2028301886792452830188679245,0.2169811320754716981132075472
extension_mid x 0.25-0.50,378,0.3386243386243386243386243386,1.621743051549404346544605342,0.06583700094764176808979645722,176.290357142857142857142851,44.772142857142857142857144,0.2275132275132275132275132275,0.4338624338624338624338624339,0.1640211640211640211640211640,0.1746031746031746031746031746
extension_mid x 0.50-0.75,301,0.3089700996677740863787375415,0.9465698462368813212238345767,-0.01457158379317768943044199656,-19.233214285714285714285713,91.279285714285714285714286,0.2790697674418604651162790698,0.4119601328903654485049833887,0.1395348837209302325581395349,0.1694352159468438538205980066
extension_mid x 0.75+,249,0.2931726907630522088353413655,0.6253503436317403207685585905,-0.07862084908916655158568926546,-156.491964285714285714285716,165.951964285714285714285716,0.3333333333333333333333333333,0.3734939759036144578313253012,0.1686746987951807228915662651,0.1244979919678714859437751004
