source,exit_timestamp,pnl
daily_trend,2020-04-23T22:00:00+00:00,11.651
daily_trend,2020-04-26T22:00:00+00:00,-4.179
daily_trend,2020-04-27T22:00:00+00:00,8.661
daily_trend,2020-04-28T09:20:00+00:00,-14.922071428571428
channel_breakout,2020-04-28T15:45:00+00:00,-11.69723994598803
daily_trend,2020-04-29T22:00:00+00:00,-0.889
daily_trend,2020-04-30T12:40:00+00:00,-17.162285714285716
channel_breakout,2020-04-30T22:00:00+00:00,4.9845000000000255
daily_trend,2020-05-01T15:05:00+00:00,-22.888928571428572
daily_trend,2020-05-04T22:00:00+00:00,0.629
daily_trend,2020-05-05T07:05:00+00:00,-12.791142857142857
daily_trend,2020-05-06T13:00:00+00:00,-12.602785714285714
daily_trend,2020-05-07T15:15:00+00:00,-14.135642857142857
channel_breakout,2020-05-07T22:00:00+00:00,-0.9490000000000691
channel_breakout,2020-05-08T12:30:00+00:00,-10.271684315590392
daily_trend,2020-05-10T22:00:00+00:00,-13.572
daily_trend,2020-05-11T22:00:00+00:00,8.6515
daily_trend,2020-05-12T22:00:00+00:00,2.351
daily_trend,2020-05-13T22:00:00+00:00,9.0145
daily_trend,2020-05-14T22:00:00+00:00,14.0145
channel_breakout,2020-05-14T22:00:00+00:00,7.3810000000000855
channel_breakout,2020-05-15T20:55:00+00:00,3.4474999999997635
daily_trend,2020-05-17T22:00:00+00:00,9.6225
channel_breakout,2020-05-18T12:20:00+00:00,-12.19242515047631
daily_trend,2020-05-18T13:10:00+00:00,-19.967142857142857
daily_trend,2020-05-19T22:00:00+00:00,-10.824
daily_trend,2020-05-20T22:00:00+00:00,0.2475
daily_trend,2020-05-21T22:00:00+00:00,12.095
channel_breakout,2020-05-21T22:00:00+00:00,0.11349999999993088
daily_trend,2020-05-24T22:00:00+00:00,-1.6405
daily_trend,2020-05-25T22:00:00+00:00,-1.1275
daily_trend,2020-05-26T09:50:00+00:00,-11.800285714285714
channel_breakout,2020-05-26T22:00:00+00:00,4.808500000000095
channel_breakout,2020-05-27T18:05:00+00:00,-8.585949960403696
daily_trend,2020-05-27T22:00:00+00:00,-2.7905
daily_trend,2020-05-28T22:00:00+00:00,-0.32
channel_breakout,2020-05-29T20:55:00+00:00,-6.74350000000004
daily_trend,2020-05-31T22:00:00+00:00,15.7425
daily_trend,2020-06-01T14:00:00+00:00,-15.2715
channel_breakout,2020-06-02T15:25:00+00:00,-8.762138984221338
daily_trend,2020-06-02T15:50:00+00:00,-11.196642857142857
