setup,parameters,trades,win_rate,profit_factor,net_pnl,max_drawdown,average_r,average_monthly_pnl,worst_monthly_pnl,best_monthly_pnl,positive_months,total_months
impulse_continuation,impulse_continuation:bars=3:atr=0.35:rr=2.5,1547,0.3555268261150614,1.1191922358360782,1095.7770420137797,347.77600978732994,0.0008325824217075711,15.010644411147666,-105.52138518360607,404.5937334289447,42,73
impulse_continuation,impulse_continuation:bars=3:atr=0.35:rr=3.0,1547,0.345830639948287,1.1090701284143094,1020.0079067246577,293.62469702559815,0.006325467390753052,13.972711051022708,-88.97124981811521,424.8256269835301,41,73
impulse_continuation,impulse_continuation:bars=12:atr=0.35:rr=3.0,1547,0.345830639948287,1.1006802227789556,952.1316717028317,354.2548739614315,0.007975690681844913,13.042899612367558,-124.21190444379863,536.895016794293,39,73
impulse_continuation,impulse_continuation:bars=3:atr=0.35:rr=2.0,1547,0.37233354880413705,1.1001588897074508,902.0544321763136,396.9859448910777,-0.00836594593403,12.356910029812516,-125.84380651393212,324.2148212396687,35,73
impulse_continuation,impulse_continuation:bars=6:atr=0.35:rr=3.0,1547,0.3335488041370394,1.078904873646952,760.4965160880847,409.6369059745639,-0.0022800764260791145,10.417760494357324,-194.53527562577892,591.5451892651299,40,73
impulse_continuation,impulse_continuation:bars=12:atr=0.35:rr=2.0,1547,0.37168713639301876,1.0687715593688818,628.4624578095197,584.4584702847947,-0.01660816992655987,8.609074764513968,-142.956696775218,385.14388488701843,33,73
impulse_continuation,impulse_continuation:bars=3:atr=0.5:rr=2.5,1541,0.3569110966904607,1.0695719045978087,625.3943320321018,502.2244391526924,-0.004489025497975729,8.567045644275368,-171.2371131108266,476.8201489835101,34,73
impulse_continuation,impulse_continuation:bars=3:atr=0.5:rr=2.0,1541,0.3705386112913692,1.0703203748334458,621.8026897698057,517.7307314865661,-0.007316782015792965,8.517845065339804,-162.30566643537168,362.04121407463845,39,73
impulse_continuation,impulse_continuation:bars=6:atr=0.35:rr=2.5,1547,0.3393665158371041,1.0651931685668408,619.6492832938081,559.7985405016102,-0.026975160968260546,8.488346346490523,-204.08688827488731,547.984014553449,36,73
impulse_continuation,impulse_continuation:bars=3:atr=0.5:rr=3.0,1541,0.3484750162232317,1.0589173920091195,539.7054886532419,463.28224669916995,0.0032798153098515972,7.393225871962218,-159.27221595794072,494.2678655649397,36,73
opening_range_breakout,opening_range_breakout:asia:rr=3.0,1528,0.39725130890052357,1.050590838132314,521.1919999999932,540.794499999995,-0.007733950047072162,7.139616438356071,-212.33050000000003,364.1600000000017,32,73
impulse_continuation,impulse_continuation:bars=12:atr=0.35:rr=2.5,1547,0.35423400129282484,1.0546888222251685,513.6186457714048,463.47138551743205,-0.008896457137296558,7.035871859882257,-147.75781476716838,451.68309541555845,33,73
impulse_continuation,impulse_continuation:bars=3:atr=0.75:rr=3.0,1410,0.3588652482269504,1.0606786565110315,474.7220149566008,728.9362955275369,-0.025306035860532643,6.503041300775354,-141.10023846410377,583.7147241085695,35,73
opening_range_breakout,opening_range_breakout:asia:rr=2.5,1528,0.4024869109947644,1.0383916790021355,394.09499999999775,592.1614999999952,-0.0034827266345461906,5.398561643835586,-214.3919999999971,323.2835000000018,32,73
impulse_continuation,impulse_continuation:bars=12:atr=0.5:rr=3.0,1547,0.3374272786037492,1.040541635767295,391.2965582141744,487.75715470144996,-0.014313294399554342,5.360226824851704,-177.7802675399298,525.9073830540219,38,73
impulse_continuation,impulse_continuation:bars=6:atr=0.35:rr=2.0,1547,0.35488041370394313,1.041313561686621,385.941986575041,669.4595555982416,-0.038216450140027725,5.2868765284252195,-191.8623497054018,428.1708460893133,34,73
impulse_continuation,impulse_continuation:bars=6:atr=0.5:rr=3.0,1546,0.33764553686934023,1.0339244083565107,325.3140590844848,473.5583714799013,-0.014740720418892258,4.456356973760066,-150.7914876344339,498.689814528665,37,73
impulse_continuation,impulse_continuation:bars=3:atr=0.75:rr=2.5,1410,0.36666666666666664,1.0341987685323988,264.9263047264617,737.1375598646734,-0.0350869719169187,3.6291274620063247,-141.10023846410377,496.6443163433096,34,73
impulse_continuation,impulse_continuation:bars=6:atr=0.5:rr=2.5,1546,0.34670116429495473,1.024313149306778,229.32327614003748,552.3919440917211,-0.03139196096723738,3.141414741644349,-169.52573657070207,458.93324034200486,31,73
