timestamp,direction,entry_price,exit_price,realized_r,max_favorable_excursion_r,max_adverse_excursion_r,trend_strength_at_entry,atr_strength_at_entry,pullback_depth_at_entry,pre_entry_extension_at_entry,london_subwindow,outcome_type
2024-09-03T10:10:00+00:00,buy,2497.625,2499.274464285714285714285714,0.9433,1.4669,0.1344,0.0006284174096597778827598907830,0.0006340727893825841340516250226,0.3501,0.1425,london_09_11,TP
2024-09-03T10:15:00+00:00,buy,2499.885,2499.720,-0.0492,0.6066,0.2042,0.0006284174096597778827598907830,0.0006517872858903054284937055806,0.4785,1.4794,london_09_11,BE
2024-09-03T10:45:00+00:00,buy,2500.265,2500.100,-0.0988,0.6976,0.2425,0.0006284174096597778827598907830,0.0006019759209631614735410583577,0.4937,0.0711,london_09_11,full loss
2024-09-03T10:55:00+00:00,buy,2500.935,2502.477321428571428571428571,0.9275,1.0434,0.2676,0.0006284174096597778827598907830,0.0005989583779624447098864978159,0.2242,0.3834,london_09_11,TP
2024-09-03T11:00:00+00:00,buy,2502.495,2502.330,-0.0725,0.5341,0.5912,0.001293531279865801333189377672,0.0006062920786398505164615150108,0.1102,1.2806,london_11_13,full loss
2024-09-03T11:15:00+00:00,buy,2503.355,2505.5750,1.0068,1.2812,0.2653,0.001293531279865801333189377672,0.0006038009785228334359642810058,0.3543,0.9954,london_11_13,TP
2024-09-03T11:30:00+00:00,buy,2505.215,2505.050,-0.0776,0.3553,0.6518,0.001293531279865801333189377672,0.0005668549529949502005947985070,0.0914,1.2889,london_11_13,full loss
2024-09-03T12:00:00+00:00,buy,2504.535,2503.079285714285714285714286,-1.0175,-0.0874,1.0170,0.002425220303601239685924931905,0.0005054022711158038605660163179,0.5499,-0.1232,london_11_13,full loss
2024-09-04T10:05:00+00:00,sell,2485.685,2487.940714285714285714285714,-1.0789,-0.0789,1.0499,0.002152442476749207223731436277,0.0007746703484579864892434033775,0.5490,0.1728,london_09_11,full loss
2024-09-04T10:15:00+00:00,sell,2485.415,2484.22250,0.4392,0.7937,0.2449,0.002152442476749207223731436277,0.0008707857418749655134359653478,0.5862,0.5412,london_09_11,partial lock
