model,risk_pct,max_risk_pct,ending_equity,net_return_pct,max_drawdown_pct,average_monthly_return_pct,best_monthly_return_pct,worst_monthly_return_pct,positive_months,months_at_or_above_10pct,total_months
fixed_0.005,0.005,0.005,15673.18906842565787424716760,56.73189068425657874247167600,23.03987611016754801077703902,0.7771491874555695718146804808,10.61978163254382179807923188,-4.697382875482740312213034279,45,1,73
fixed_0.01,0.01,0.01,23367.19975218059078481625160,133.6719975218059078481625160,47.08339955345865087918379602,1.831123253723368600659760478,30.73760800437510963203234651,-9.349396877369492406286306782,45,5,73
fixed_0.02,0.02,0.02,44832.21544935717297054133874,348.3221544935717297054133874,96.31371563595507974898837454,4.771536362925640132950868310,111.6016632513962677762347388,-22.49917760512755564702161956,44,17,73
progressive_0.02_0.005_0.10_0.05,0.02,0.05,49612.48304487137553624104608,396.1248304487137553624104608,100.7934528679450788679773286,5.426367540393339114553567970,190.0505019105071905300630699,-23.96298986322011589418599455,44,16,73
progressive_0.02_0.01_0.10_0.08,0.02,0.08,33931.26405383215299617186853,239.3126405383215299617186853,106.6508002562571861951992458,3.278255349840020958379708012,148.4593276815061612693582484,-18.96697725541820028448256944,41,15,73
progressive_0.02_0.01_0.20_0.10,0.02,0.10,41446.42838612671799555672816,314.4642838612671799555672816,99.19836846912962235525520431,4.307729915907769588432428519,194.8877135165778692101118894,-20.01875903661511471426531494,42,15,73
