rank_by_trade_count,min_atr,context_ema_period,execution_ema_period,max_spread,total_trades,win_rate,profit_factor,max_drawdown,net_pnl,average_r
1,0.10,10,3,0.50,15,0.4,0.6276025236593059936908517233,23.29785714285714285714286,-11.805000000000000000000000,-0.2
2,0.10,10,3,1.00,15,0.4,0.6276025236593059936908517233,23.29785714285714285714286,-11.805000000000000000000000,-0.2
3,0.10,10,3,1.50,15,0.4,0.6276025236593059936908517233,23.29785714285714285714286,-11.805000000000000000000000,-0.2
4,0.10,10,5,0.50,15,0.4,0.6276025236593059936908517233,23.29785714285714285714286,-11.805000000000000000000000,-0.2
5,0.10,10,5,1.00,15,0.4,0.6276025236593059936908517233,23.29785714285714285714286,-11.805000000000000000000000,-0.2
6,0.10,10,5,1.50,15,0.4,0.6276025236593059936908517233,23.29785714285714285714286,-11.805000000000000000000000,-0.2
7,0.25,10,3,0.50,15,0.4,0.6276025236593059936908517233,23.29785714285714285714286,-11.805000000000000000000000,-0.2
8,0.25,10,3,1.00,15,0.4,0.6276025236593059936908517233,23.29785714285714285714286,-11.805000000000000000000000,-0.2
9,0.25,10,3,1.50,15,0.4,0.6276025236593059936908517233,23.29785714285714285714286,-11.805000000000000000000000,-0.2
10,0.25,10,5,0.50,15,0.4,0.6276025236593059936908517233,23.29785714285714285714286,-11.805000000000000000000000,-0.2
11,0.25,10,5,1.00,15,0.4,0.6276025236593059936908517233,23.29785714285714285714286,-11.805000000000000000000000,-0.2
12,0.25,10,5,1.50,15,0.4,0.6276025236593059936908517233,23.29785714285714285714286,-11.805000000000000000000000,-0.2
13,0.50,10,3,0.50,15,0.4,0.6276025236593059936908517233,23.29785714285714285714286,-11.805000000000000000000000,-0.2
14,0.50,10,3,1.00,15,0.4,0.6276025236593059936908517233,23.29785714285714285714286,-11.805000000000000000000000,-0.2
15,0.50,10,3,1.50,15,0.4,0.6276025236593059936908517233,23.29785714285714285714286,-11.805000000000000000000000,-0.2
16,0.50,10,5,0.50,15,0.4,0.6276025236593059936908517233,23.29785714285714285714286,-11.805000000000000000000000,-0.2
17,0.50,10,5,1.00,15,0.4,0.6276025236593059936908517233,23.29785714285714285714286,-11.805000000000000000000000,-0.2
18,0.50,10,5,1.50,15,0.4,0.6276025236593059936908517233,23.29785714285714285714286,-11.805000000000000000000000,-0.2
19,0.75,10,3,0.50,15,0.4,0.6276025236593059936908517233,23.29785714285714285714286,-11.805000000000000000000000,-0.2
20,0.75,10,3,1.00,15,0.4,0.6276025236593059936908517233,23.29785714285714285714286,-11.805000000000000000000000,-0.2
21,0.75,10,3,1.50,15,0.4,0.6276025236593059936908517233,23.29785714285714285714286,-11.805000000000000000000000,-0.2
22,0.75,10,5,0.50,15,0.4,0.6276025236593059936908517233,23.29785714285714285714286,-11.805000000000000000000000,-0.2
23,0.75,10,5,1.00,15,0.4,0.6276025236593059936908517233,23.29785714285714285714286,-11.805000000000000000000000,-0.2
24,0.75,10,5,1.50,15,0.4,0.6276025236593059936908517233,23.29785714285714285714286,-11.805000000000000000000000,-0.2
25,0.10,3,3,0.50,14,0.6428571428571428571428571429,1.256038647342995169082125589,9.4700000000000000000000,5.678571428571428571428571,0.2350578091318832059572800314
26,0.10,3,3,1.00,14,0.6428571428571428571428571429,1.256038647342995169082125589,9.4700000000000000000000,5.678571428571428571428571,0.2350578091318832059572800314
