parameters,entry_hour_utc,trades,profit_factor,net_pnl,max_drawdown,average_monthly_pnl,worst_monthly_pnl,positive_months,total_months
impulse_continuation:bars=12:atr=0.75:rr=2.5,16,3,24.432853174947994,110.16182985103978,4.7011701489605,36.72060995034659,-4.7011701489605,2,3
impulse_continuation:bars=12:atr=0.75:rr=3.0,16,3,24.432853174947994,110.16182985103978,4.7011701489605,36.72060995034659,-4.7011701489605,2,3
impulse_continuation:bars=12:atr=0.75:rr=2.0,16,3,24.404137269938893,110.02683149561062,4.7011701489605,36.67561049853688,-4.7011701489605,2,3
impulse_continuation:bars=12:atr=0.5:rr=2.5,12,12,7.685653858227447,229.5133350599624,19.09408343706764,25.501481673329156,-19.09408343706764,4,9
impulse_continuation:bars=12:atr=0.5:rr=3.0,12,12,7.585403462468736,226.07181637539156,21.478727915010495,25.11909070837684,-19.09408343706764,4,9
impulse_continuation:bars=12:atr=0.5:rr=2.0,12,12,6.24372767458174,180.01312246496695,19.09408343706764,20.001458051662993,-19.09408343706764,4,9
impulse_continuation:bars=3:atr=0.75:rr=2.0,20,6,15.546361010157376,78.04850000000101,3.181500000000142,15.609700000000203,-3.181500000000142,3,5
impulse_continuation:bars=3:atr=0.75:rr=2.5,20,6,15.546361010157376,78.04850000000101,3.181500000000142,15.609700000000203,-3.181500000000142,3,5
impulse_continuation:bars=3:atr=0.75:rr=3.0,20,6,15.546361010157376,78.04850000000101,3.181500000000142,15.609700000000203,-3.181500000000142,3,5
impulse_continuation:bars=12:atr=0.75:rr=2.5,12,53,4.462764890333302,499.56307202390985,57.131874174568566,15.13827490981545,-19.46696036399544,20,33
impulse_continuation:bars=3:atr=0.5:rr=2.0,20,1,inf,13.885000000000218,0.0,13.885000000000218,13.885000000000218,1,1
impulse_continuation:bars=3:atr=0.5:rr=2.5,20,1,inf,13.885000000000218,0.0,13.885000000000218,13.885000000000218,1,1
impulse_continuation:bars=3:atr=0.5:rr=3.0,20,1,inf,13.885000000000218,0.0,13.885000000000218,13.885000000000218,1,1
impulse_continuation:bars=12:atr=0.75:rr=3.0,12,53,3.973896567010585,429.0354534448825,57.131874174568566,13.00107434681462,-19.46696036399544,20,33
impulse_continuation:bars=12:atr=0.75:rr=2.0,12,53,3.942450829166993,424.4988678271129,57.131874174568566,12.863602055367059,-19.46696036399544,20,33
impulse_continuation:bars=3:atr=0.75:rr=3.0,16,9,4.140554467636245,97.68314880459457,23.49052422802788,12.21039360057432,-9.514999999999418,4,8
impulse_continuation:bars=12:atr=0.75:rr=2.0,15,9,2.0976332648256815,77.27739561139038,51.41315674746693,11.039627944484339,-16.545000000000528,3,7
impulse_continuation:bars=12:atr=0.75:rr=3.0,6,531,1.2165028471817625,774.943242445444,250.95818707630133,10.61566085541704,-168.05362993949348,40,73
impulse_continuation:bars=12:atr=0.35:rr=3.0,6,967,1.1276025700550365,767.8350510292084,314.5155557394064,10.518288370263129,-124.72449860259985,37,73
impulse_continuation:bars=3:atr=0.75:rr=2.5,16,9,3.5186932896981036,78.34090888921673,23.49052422802788,9.792613611152092,-9.514999999999418,4,8
impulse_continuation:bars=3:atr=0.35:rr=2.5,5,626,1.1745248063030607,680.2990594677365,316.0418573769264,9.319165198188172,-305.3245295279112,36,73
impulse_continuation:bars=3:atr=0.35:rr=2.0,14,3,12.25065559440548,25.74149999999986,2.288000000000011,8.580499999999953,-2.288000000000011,2,3
impulse_continuation:bars=3:atr=0.35:rr=2.5,14,3,12.25065559440548,25.74149999999986,2.288000000000011,8.580499999999953,-2.288000000000011,2,3
impulse_continuation:bars=3:atr=0.35:rr=3.0,14,3,12.25065559440548,25.74149999999986,2.288000000000011,8.580499999999953,-2.288000000000011,2,3
impulse_continuation:bars=3:atr=0.35:rr=2.5,12,10,1.9879775273663327,68.44829773089259,36.45575197921039,8.556037216361574,-13.297993479184697,3,8
impulse_continuation:bars=3:atr=0.5:rr=2.0,5,321,1.286800045596253,605.4658691179889,294.9041925135525,8.527688297436463,-238.7468053384082,35,71
impulse_continuation:bars=3:atr=0.35:rr=3.0,11,12,2.4990941024493862,91.83850011988102,32.93905143764459,8.34895455635282,-32.93905143764459,7,11
impulse_continuation:bars=12:atr=0.35:rr=2.0,6,967,1.1032960867024193,595.8686052193157,314.5155557394064,8.16258363314131,-170.82508260572195,37,73
impulse_continuation:bars=6:atr=0.5:rr=3.0,6,489,1.2078136210936017,591.7637593517845,305.23995138310374,8.106352867832666,-163.65097652547365,39,73
impulse_continuation:bars=12:atr=0.5:rr=3.0,6,815,1.1114847311777005,583.6035630481845,350.4555557394051,7.994569356824445,-267.56099860259746,39,73
impulse_continuation:bars=3:atr=0.5:rr=2.5,5,321,1.256060405052927,554.4770538767089,294.9041925135525,7.809535970094491,-224.5680835446219,32,71
impulse_continuation:bars=6:atr=0.35:rr=3.0,6,577,1.174790900726739,569.5956553741594,282.95611226771507,7.802680210604923,-152.00142340460934,39,73
impulse_continuation:bars=3:atr=0.35:rr=2.0,5,626,1.1445758774170411,551.441899169293,319.50325132169746,7.553998618757439,-319.50325132169746,34,73
impulse_continuation:bars=3:atr=0.35:rr=2.5,11,12,2.3460558125987343,82.46296660411895,32.93905143764459,7.496633327647177,-32.93905143764459,7,11
impulse_continuation:bars=3:atr=0.75:rr=2.0,16,9,2.904821491655647,59.2471689738386,23.49052422802788,7.405896121729825,-9.514999999999418,4,8
impulse_continuation:bars=6:atr=0.35:rr=2.0,8,99,1.6969317930565988,372.29778332501246,125.77987517717656,7.024486477830424,-51.46028377081484,23,53
impulse_continuation:bars=6:atr=0.5:rr=2.5,12,32,2.1150845686702513,154.21238412603407,45.86057694054739,7.009653823910639,-30.751917797698752,11,22
impulse_continuation:bars=6:atr=0.5:rr=3.0,12,32,2.1144571263678817,154.12561100041785,45.86057694054739,7.005709590928084,-30.751917797698752,11,22
impulse_continuation:bars=12:atr=0.5:rr=2.0,6,815,1.1011537581077553,507.32896175317296,350.4555557394051,6.949711804837985,-295.3775176481995,42,73
impulse_continuation:bars=12:atr=0.35:rr=2.5,6,967,1.0816114078007726,486.8245020428867,314.5155557394064,6.668828795108037,-141.1990893223001,37,73
