month,pnl
2020-04,-345.9653785306142300635819546
2020-05,-318.6991707910456626004642214
2020-06,-355.9092172643673539340371299
2020-07,655.0726494621819497740754892
2020-08,852.6660536192911299805151443
2020-09,-3074.047098072710645708059169
2020-10,-314.3460039850289843536286086
2020-11,1964.939616532256303835765408
2020-12,1675.836573824037136481975228
2021-01,759.2229409817545269518697789
2021-02,2963.106050309507506118741814
2021-03,-2155.339478296794709982136628
2021-04,-787.3707908654259014420721385
2021-05,153.2806089811465365134035599
2021-06,-1206.191619167507784776196473
2021-07,-2474.727643866639822861010880
2021-08,922.4547625807770944978452314
2021-09,-309.4077988992653506294634267
2021-10,850.8194621418848614365872642
2021-11,-881.1320253303187026164633835
2021-12,-2014.666429338277187017689677
2022-01,-1209.299788511925873087063684
2022-02,-102.3411773880095077128355202
2022-03,-4.9172065076080118831429099
2022-04,-721.6733077741346523097631149
2022-05,-796.5379474362368254819383611
2022-06,-282.7100786894272168405942017
2022-07,361.2597576159418408615268922
2022-08,254.0623936198761667818693680
2022-09,-645.1702873417239105716519914
2022-10,67.69799623173325937455076897
2022-11,-9.51481371330010691348080430
2022-12,405.4480509635746136699764635
2023-01,-364.8656333521037858166022168
2023-02,281.9157930220313350602841176
2023-03,834.5623270364302615594331214
2023-04,152.4799510176564288383290307
2023-05,821.3366157715767972455729084
2023-06,-1166.297129458966826698831769
2023-07,-90.80051078510614456377839030
2023-08,-448.9939413062414115975749354
2023-09,450.5351896430785832605550207
2023-10,328.8057153278759809611677099
2023-11,509.5241745238640414348061740
2023-12,1191.415810171335839758294620
2024-01,-364.0424613625453887303596753
2024-02,-673.1667374275404335749119243
2024-03,1743.115116896851572961160499
2024-04,543.0210430275524107074380430
2024-05,733.2604950709648764856870196
2024-06,-488.3139806747969561596430746
2024-07,1654.481681520567850635827503
2024-08,-440.3879521046679315775797701
2024-09,629.9617252848781519170526064
2024-10,-1136.301436763482140805882621
2024-11,2824.469402126434060987320260
2024-12,-735.0781610509933642830775812
2025-01,1081.931388667239149591254253
2025-02,-131.1873871755960147879605705
2025-03,2030.093414412435281546347540
2025-04,2658.685976586650112963651441
2025-05,1922.104152237929552578546553
2025-06,-744.7034636583851104939382169
2025-07,2340.423097063642889908707932
2025-08,8506.536191820484336526335964
2025-09,6011.161940877593648935425893
2025-10,5536.656480113216253358721660
2025-11,-2385.978906179978281259889704
2025-12,830.763746519913516974430719
2026-01,14861.97116681960671219560486
2026-02,12403.46304625215757921208576
2026-03,29291.38555516296521476254607
2026-04,-1845.603390687777123136864553
